provider_parent_name,provider_org_name,total_waiting,over_18_weeks,over_52_weeks,over_104_weeks,breach_rate_pct
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,58435.0,21663.0,941.0,0.0,37.1
"NHS BUCKINGHAMSHIRE, OXFORDSHIRE AND BERKSHIRE WEST INTEGRATED CARE BOARD",OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,88213.0,32635.0,1590.0,0.0,37.0
NHS BLACK COUNTRY INTEGRATED CARE BOARD,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,65757.0,24328.0,346.0,0.0,37.0
NHS DEVON INTEGRATED CARE BOARD,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",887.0,328.0,7.0,0.0,37.0
NHS GREATER MANCHESTER INTEGRATED CARE BOARD,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,166330.0,61550.0,1534.0,0.0,37.0
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,PINEHILL HOSPITAL,1812.0,667.0,3.0,0.0,36.8
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,ISLE OF WIGHT NHS TRUST,13219.0,4862.0,46.0,0.0,36.8
NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,74668.0,27440.0,1122.0,1.0,36.7
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",409.0,150.0,0.0,0.0,36.7
NHS SOUTH WEST LONDON INTEGRATED CARE BOARD,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,66997.0,24534.0,426.0,1.0,36.6
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,83187.0,30377.0,1589.0,0.0,36.5
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,59683.0,21782.0,1166.0,0.0,36.5
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,33136.0,12051.0,357.0,0.0,36.4
NHS HAMPSHIRE AND ISLE OF WIGHT INTEGRATED CARE BOARD,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,10619.0,3851.0,13.0,0.0,36.3
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,32993.0,11969.0,101.0,0.0,36.3
NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,67127.0,24385.0,1730.0,0.0,36.3
NHS NORTH EAST AND NORTH CUMBRIA INTEGRATED CARE BOARD,COBALT HOSPITAL,1815.0,657.0,1.0,0.0,36.2
NHS BLACK COUNTRY INTEGRATED CARE BOARD,THE DUDLEY GROUP NHS FOUNDATION TRUST,45663.0,16429.0,19.0,0.0,36.0
NHS NORTH WEST LONDON INTEGRATED CARE BOARD,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,81787.0,29413.0,778.0,0.0,36.0
NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,39762.0,14266.0,566.0,3.0,35.9
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,THE WALTON CENTRE NHS FOUNDATION TRUST,15460.0,5543.0,160.0,0.0,35.9
NHS CHESHIRE AND MERSEYSIDE INTEGRATED CARE BOARD,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,30603.0,10953.0,272.0,0.0,35.8
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,23672.0,8457.0,79.0,0.0,35.7
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",ST MICHAEL'S CLINIC LIMITED,1716.0,613.0,26.0,0.0,35.7
